
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=300

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
LBFGS:   12 23:06:12     -211.638702        1.981215
LBFGS:   13 23:06:12     -212.129562        2.416070
LBFGS:   14 23:06:12     -212.722595        2.257645
LBFGS:   15 23:06:12     -213.246048        1.938799
LBFGS:   16 23:06:12     -213.873993        2.035917
LBFGS:   17 23:06:12     -214.479813        2.589923
LBFGS:   18 23:06:12     -214.919540        1.734506
LBFGS:   19 23:06:12     -215.340515        1.357609
LBFGS:   20 23:06:13     -215.778473        1.576451
LBFGS:   21 23:06:13     -216.133148        1.512909
LBFGS:   22 23:06:13     -216.439407        1.268391
LBFGS:   23 23:06:13     -216.644196        0.925739
LBFGS:   24 23:06:13     -216.774109        0.828701
LBFGS:   25 23:06:13     -216.890106        0.914381
LBFGS:   26 23:06:13     -217.008911        0.762558
LBFGS:   27 23:06:13     -217.104004        0.666316
LBFGS:   28 23:06:13     -217.157684        0.509865
LBFGS:   29 23:06:13     -217.208084        0.547632
LBFGS:   30 23:06:13     -217.269135        0.594759
LBFGS:   31 23:06:14     -217.318024        0.602928
LBFGS:   32 23:06:14     -217.377930        0.538906
LBFGS:   33 23:06:14     -217.436615        0.465164
LBFGS:   34 23:06:14     -217.468552        0.370917
LBFGS:   35 23:06:14     -217.497620        0.388432
LBFGS:   36 23:06:14     -217.520569        0.347282
LBFGS:   37 23:06:14     -217.550720        0.435864
LBFGS:   38 23:06:14     -217.581848        0.533697
LBFGS:   39 23:06:14     -217.623291        0.579951
LBFGS:   40 23:06:14     -217.673889        0.570674
LBFGS:   41 23:06:14     -217.709152        0.577470
LBFGS:   42 23:06:15     -217.790771        0.543265
LBFGS:   43 23:06:15     -217.839142        0.616433
LBFGS:   44 23:06:15     -217.900146        0.681715
LBFGS:   45 23:06:15     -217.939590        0.626535
LBFGS:   46 23:06:15     -217.987244        0.547437
LBFGS:   47 23:06:15     -218.045624        0.617832
LBFGS:   48 23:06:15     -218.075287        0.539980
LBFGS:   49 23:06:15     -218.097336        0.345104
LBFGS:   50 23:06:15     -218.119034        0.315395
LBFGS:   51 23:06:15     -218.130920        0.294229
LBFGS:   52 23:06:15     -218.148438        0.237418
LBFGS:   53 23:06:15     -218.159546        0.258971
LBFGS:   54 23:06:15     -218.171997        0.250642
LBFGS:   55 23:06:15     -218.184906        0.275648
LBFGS:   56 23:06:16     -218.198639        0.310560
LBFGS:   57 23:06:16     -218.210327        0.247791
LBFGS:   58 23:06:16     -218.236954        0.394428
LBFGS:   59 23:06:16     -218.253937        0.329210
LBFGS:   60 23:06:16     -218.304840        0.738078
LBFGS:   61 23:06:16     -218.343597        0.533423
LBFGS:   62 23:06:16     -218.398865        0.471676
LBFGS:   63 23:06:16     -218.413742        0.585506
LBFGS:   64 23:06:16     -218.449524        0.345518
LBFGS:   65 23:06:16     -218.472961        0.266520
LBFGS:   66 23:06:16     -218.490448        0.263261
LBFGS:   67 23:06:17     -218.510498        0.309983
LBFGS:   68 23:06:17     -218.523193        0.266324
LBFGS:   69 23:06:17     -218.537262        0.246597
LBFGS:   70 23:06:17     -218.548340        0.267865
LBFGS:   71 23:06:17     -218.566223        0.298132
LBFGS:   72 23:06:17     -218.590424        0.481396
LBFGS:   73 23:06:17     -218.617340        0.432111
LBFGS:   74 23:06:17     -218.696869        0.571737
LBFGS:   75 23:06:17     -218.733307        0.549290
LBFGS:   76 23:06:17     -218.775360        0.431326
LBFGS:   77 23:06:17     -218.814331        0.614964
LBFGS:   78 23:06:18     -218.859512        0.605126
LBFGS:   79 23:06:18     -218.915009        0.468986
LBFGS:   80 23:06:18     -218.984619        0.537923
LBFGS:   81 23:06:18     -219.032593        0.489972
LBFGS:   82 23:06:18     -219.128967        0.531620
LBFGS:   83 23:06:18     -219.188004        0.538099
LBFGS:   84 23:06:18     -219.242615        0.559458
LBFGS:   85 23:06:18     -219.300110        0.523734
LBFGS:   86 23:06:18     -219.358566        0.567040
LBFGS:   87 23:06:18     -219.414001        0.570268
LBFGS:   88 23:06:18     -219.459229        0.563573
LBFGS:   89 23:06:18     -219.527527        0.749512
LBFGS:   90 23:06:18     -219.600266        0.775222
LBFGS:   91 23:06:18     -219.665680        0.605835
LBFGS:   92 23:06:19     -219.750778        0.972892
LBFGS:   93 23:06:19     -219.826019        0.642161
LBFGS:   94 23:06:19     -219.931976        0.745096
LBFGS:   95 23:06:19     -220.036835        0.804114
LBFGS:   96 23:06:19     -220.144470        0.957337
LBFGS:   97 23:06:19     -220.339691        1.109157
LBFGS:   98 23:06:19     -220.537109        2.023064
LBFGS:   99 23:06:19     -220.756851        1.256781
LBFGS:  100 23:06:19     -220.847855        1.283716
LBFGS:  101 23:06:19     -221.040558        0.793891
LBFGS:  102 23:06:19     -221.149811        0.607663
LBFGS:  103 23:06:20     -221.238235        0.671820
LBFGS:  104 23:06:20     -221.308136        0.691724
LBFGS:  105 23:06:20     -221.372192        0.548707
LBFGS:  106 23:06:20     -221.434143        0.393233
LBFGS:  107 23:06:20     -221.465210        0.407075
LBFGS:  108 23:06:20     -221.486526        0.261815
LBFGS:  109 23:06:20     -221.506439        0.219342
LBFGS:  110 23:06:20     -221.514648        0.177840
LBFGS:  111 23:06:20     -221.527863        0.190046
LBFGS:  112 23:06:20     -221.535858        0.204771
LBFGS:  113 23:06:21     -221.543945        0.170018
LBFGS:  114 23:06:21     -221.547638        0.115609
LBFGS:  115 23:06:21     -221.550293        0.108991
LBFGS:  116 23:06:21     -221.552078        0.106926
LBFGS:  117 23:06:21     -221.553894        0.096252
       Step     Time          Energy          fmax
LBFGS:    0 00:00:43     -187.177475        9.276482
LBFGS:    1 00:00:43     -190.549393        4.120760
LBFGS:    2 00:00:43     -194.851639        5.110645
LBFGS:    3 00:00:43     -197.922729        6.887574
LBFGS:    4 00:00:43     -200.584259        6.452673
LBFGS:    5 00:00:44     -203.152069       10.540192
LBFGS:    6 00:00:44     -204.943085       10.335608
LBFGS:    7 00:00:44     -205.990295        3.878770
LBFGS:    8 00:00:44     -207.443573        2.118190
LBFGS:    9 00:00:44     -209.215271        6.639333
LBFGS:   10 00:00:44     -210.163696        2.944806
LBFGS:   11 00:00:44     -211.762711        3.307459
LBFGS:   12 00:00:44     -212.633209        2.951174
LBFGS:   13 00:00:44     -213.467422        2.430471
LBFGS:   14 00:00:44     -214.286041        2.146330
LBFGS:   15 00:00:44     -215.385162        2.066305
LBFGS:   16 00:00:44     -215.760620        1.410909
LBFGS:   17 00:00:44     -216.222565        2.711108
LBFGS:   18 00:00:44     -216.538696        1.482644
LBFGS:   19 00:00:44     -216.767807        1.062808
